number,name,diameter (km),Period (h),a (AU),e,slow,a_mean
42940,1999TP38,6.5,4.30468,3.0561,0.2473,False,2.961174358485386
42950,1999TF101,2.47,7.6702,2.4012,0.1153,False,2.3851857136286285
42963,1999TH144,4.65,10.756,2.6905,0.1563,False,2.6574327551638026
42969,1999TD173,2.78,2.90502,2.5921,0.0697,False,2.5857960067924544
43000,1999UL8,3.95,608.3,2.5599,0.1795,False,2.5183220358099154
43001,1999UE9,5.07,8.0379,2.9302,0.0813,False,2.9205000882550807
43088,1999WO9,2.85,44.049,2.4538,0.1485,False,2.426593265886459
43089,1999WP12,9.1,5.21256,3.169,0.101,False,3.152795082976215
43110,1999XH29,17.45,6.42699,3.2009,0.1735,False,3.152354732046693
43120,1999XB49,3.3,118.94,2.4366,0.1004,False,2.4242882363514595
43130,1999XZ68,6.26,241.9,2.7413,0.0782,False,2.732905292700697
43134,1999XU77,8.76,16.4347,2.7945,0.1892,False,2.7440273406188287
43139,1999XM90,19.33,176.34,3.1905,0.0735,False,3.1818703900767136
43149,1999XU107,3.38,5.3458,2.7204,0.1151,False,2.702319976062524
43151,1999XU114,4.76,91.286,2.5403,0.1457,False,2.513191996204563
43152,1999XM115,20.76,12.0,3.1512,0.2052,False,3.084142659758699
43153,1999XC118,6.86,3.46398,2.7202,0.0386,False,2.7181727499921564
43157,1999XT120,3.73,9.8672,2.4552,0.0637,False,2.450213716416154
43179,1999XL204,11.69,9.8383,3.1428,0.0646,False,3.136235440476525
43181,1999XY206,12.81,17.065,3.1508,0.1972,False,3.088928621382854
43202,2000AQ70,15.67,10.2126,3.1618,0.137,False,3.1319875377536928
43206,2000AJ78,4.47,4.53424,2.9902,0.0645,False,2.983973527555094
43208,2000AW98,6.97,5.24319,3.1119,0.1952,False,3.0520378040806286
43218,2000AE143,9.09,3.463796,2.9945,0.0754,False,2.985975761506431
43224,Tonypensa,4.04,17.1988,2.6741,0.1462,False,2.645366937381335
43225,2000AW165,8.41,6.8835,3.1387,0.2224,False,3.060092848807413
43227,2000AR166,13.83,13.475,3.1397,0.017,False,3.139246280566402
43228,2000AH169,5.74,72.27,2.9703,0.0792,False,2.960969534023439
43235,2000AX197,6.72,4.55081,2.8351,0.0644,False,2.8292148014828085
43237,2000AB204,4.47,4.17974,2.9709,0.0878,False,2.9594267494805813
43249,2000BQ29,5.41,2.53624,3.0531,0.145,False,3.02083378601004
43254,2000CE35,4.95,5.15981,2.6312,0.0413,False,2.6289550365244985
43269,2000DO98,6.49,3.27811,2.9789,0.0748,False,2.9705547783362354
43341,2000RK62,5.59,6.5534,2.569,0.0874,False,2.5591692030156272
43342,2000RO67,12.19,28.902,3.1226,0.0593,False,3.11710486901528
43345,2000RB88,3.27,6.56584,2.633,0.1397,False,2.6071804727586447
43411,2000WN153,3.13,6.9232,2.5409,0.0856,False,2.5315738400447496
43471,2001AH32,3.15,5.8628,2.7614,0.1349,False,2.7361586447307147
